City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tual,ID,2022-07-21 14:09:50,-5.6667,132.75,78.53,77,40,18.28
68,Hambantota,LK,2022-07-21 14:08:43,6.1241,81.1185,79.14,94,40,10.36
69,Luderitz,NA,2022-07-21 14:09:51,-26.6481,15.1594,67.78,50,0,15.86
70,Kavieng,PG,2022-07-21 14:09:51,-2.5744,150.7967,81.72,79,100,10.42
71,Namibe,AO,2022-07-21 14:08:54,-15.1961,12.1522,70.38,65,1,10.27
72,Margate,GB,2022-07-21 14:09:51,51.3813,1.3862,72.3,69,66,3.0
73,Tuktoyaktuk,CA,2022-07-21 14:09:52,69.4541,-133.0374,44.28,91,100,3.38
74,Dingle,PH,2022-07-21 14:09:52,10.9995,122.6711,78.4,89,100,5.32
75,Hermanus,ZA,2022-07-21 14:08:23,-34.4187,19.2345,60.8,67,9,5.86
76,Broome,US,2022-07-21 14:09:53,42.2506,-75.833,84.88,63,0,10.36
77,Ulaangom,MN,2022-07-21 14:09:53,49.9811,92.0667,67.48,36,100,2.06
78,Agirish,RU,2022-07-21 14:09:53,61.9247,63.0231,67.98,35,7,8.01
79,Hyeres,FR,2022-07-21 14:09:54,43.1167,6.1167,101.66,45,0,13.8
80,Richards Bay,ZA,2022-07-21 14:09:54,-28.783,32.0377,71.37,68,6,8.41
81,Menongue,AO,2022-07-21 14:09:54,-14.6585,17.691,83.32,15,5,2.8
82,Kapaa,US,2022-07-21 14:09:55,22.0752,-159.319,80.19,82,100,19.57
83,Caucaia,BR,2022-07-21 14:09:55,-3.7361,-38.6531,86.31,61,75,14.97
84,Puerto Ayora,EC,2022-07-21 14:09:55,-0.7393,-90.3518,71.56,94,86,8.01
85,Carnarvon,AU,2022-07-21 14:09:56,-24.8667,113.6333,67.21,66,95,15.77
86,Saldanha,ZA,2022-07-21 14:09:57,-33.0117,17.9442,56.98,64,3,9.44
87,Riosucio,CO,2022-07-21 14:09:58,5.4216,-75.7032,64.06,87,100,0.38
88,Ponta Do Sol,PT,2022-07-21 14:09:59,32.6667,-17.1,81.72,67,0,4.7
89,Yatou,CN,2022-07-21 14:10:00,37.15,122.3833,70.63,89,0,3.8
90,Keuruu,FI,2022-07-21 14:10:01,62.2667,24.7,82.8,37,28,6.93
91,Taguatinga,BR,2022-07-21 14:10:02,-12.3857,-46.5711,85.96,32,22,10.2
92,Viloco,BO,2022-07-21 14:10:05,-16.95,-67.55,52.27,18,67,4.5
93,Jalingo,NG,2022-07-21 14:11:06,8.8833,11.3667,84.79,64,87,4.14
94,Yichun,CN,2022-07-21 14:11:06,47.7,128.9,61.66,89,20,1.12
95,New Norfolk,AU,2022-07-21 14:09:03,-42.7826,147.0587,39.7,96,0,2.86
96,Ajaccio,FR,2022-07-21 14:11:08,42.0,8.9167,84.18,62,0,13.8
97,Hasaki,JP,2022-07-21 14:11:08,35.7333,140.8333,79.29,91,100,13.2
98,Comodoro Rivadavia,AR,2022-07-21 14:11:09,-45.8667,-67.5,42.66,52,0,29.93
99,Nanortalik,GL,2022-07-21 14:11:09,60.1432,-45.2371,51.3,78,9,13.6
100,Methoni,GR,2022-07-21 14:11:09,36.8197,21.7049,90.21,55,0,15.68
101,Chokurdakh,RU,2022-07-21 14:11:10,70.6333,147.9167,39.4,51,100,8.79
102,Port Hardy,CA,2022-07-21 14:11:11,50.6996,-127.4199,52.77,89,5,2.57
103,Ilulissat,GL,2022-07-21 14:11:12,69.2167,-51.1,60.82,51,75,14.97
104,Bredasdorp,ZA,2022-07-21 14:07:53,-34.5322,20.0403,62.31,50,12,4.43
105,Atuona,PF,2022-07-21 14:11:13,-9.8,-139.0333,77.0,76,12,14.58
106,Kamuli,UG,2022-07-21 14:11:14,0.9472,33.1197,80.92,44,92,4.41
107,Mount Isa,AU,2022-07-21 14:11:15,-20.7333,139.5,53.37,30,5,10.36
108,Coari,BR,2022-07-21 14:11:15,-4.085,-63.1414,80.49,73,81,2.24
109,Verkhoyansk,RU,2022-07-21 14:11:16,67.5447,133.385,53.76,70,99,1.79
110,Murgab,TM,2022-07-21 14:11:16,37.4966,61.9714,108.48,6,0,13.44
111,Zhangye,CN,2022-07-21 14:11:17,38.9342,100.4517,64.04,47,2,10.11
112,Mikhaylovka,RU,2022-07-21 14:11:17,50.06,43.2379,69.78,44,73,16.51
113,Berlevag,NO,2022-07-21 14:11:17,70.8578,29.0864,71.4,88,20,5.75
114,Rabo De Peixe,PT,2022-07-21 14:11:18,37.8,-25.5833,77.27,70,75,8.05
115,Castro,BR,2022-07-21 14:06:38,-24.7911,-50.0119,68.86,59,3,5.84
116,Kenai,US,2022-07-21 14:06:55,60.5544,-151.2583,50.14,98,100,0.0
117,Bobo Dioulasso,BF,2022-07-21 14:11:18,11.1771,-4.2979,85.41,51,90,8.48
118,Lasa,IT,2022-07-21 14:11:19,46.6166,10.7002,89.69,62,60,3.78
119,Tafalla,ES,2022-07-21 14:11:19,42.5269,-1.6745,97.14,24,0,8.81
120,Severo-Kurilsk,RU,2022-07-21 14:11:19,50.6789,156.125,52.18,97,100,20.69
121,Dawei,MM,2022-07-21 14:11:20,14.0833,98.2,76.6,92,100,6.53
122,Lebu,CL,2022-07-21 14:11:20,-37.6167,-73.65,49.73,89,79,1.34
123,Taloqan,AF,2022-07-21 14:11:21,36.7361,69.5345,97.16,13,0,5.01
124,Inhambane,MZ,2022-07-21 14:11:22,-23.865,35.3833,76.98,65,20,4.61
125,San Patricio,US,2022-07-21 14:08:18,28.017,-97.5169,87.89,63,0,15.01
126,Bambous Virieux,MU,2022-07-21 14:11:23,-20.3428,57.7575,68.22,68,78,20.65
127,Turukhansk,RU,2022-07-21 14:11:24,65.8167,87.9833,61.93,67,92,6.85
128,Alyangula,AU,2022-07-21 14:11:25,-13.8483,136.4192,66.52,68,24,10.69
129,Fairbanks,US,2022-07-21 14:11:20,64.8378,-147.7164,55.24,80,75,1.01
130,Pisco,PE,2022-07-21 14:11:25,-13.7,-76.2167,60.03,88,100,6.91
131,Oranjestad,AW,2022-07-21 14:07:44,12.524,-70.027,84.15,74,40,20.71
132,Portland,US,2022-07-21 14:11:06,45.5234,-122.6762,64.42,85,20,4.61
133,Eydhafushi,MV,2022-07-21 14:11:26,5.1033,73.0708,82.35,75,100,16.98
134,Rafaela,AR,2022-07-21 14:11:27,-31.2503,-61.4867,68.0,97,86,13.09
135,Boa Vista,BR,2022-07-21 14:11:27,2.8197,-60.6733,78.78,83,75,3.44
136,Eureka,US,2022-07-21 14:07:03,40.8021,-124.1637,55.92,91,72,4.54
137,Grand Gaube,MU,2022-07-21 14:11:28,-20.0064,57.6608,68.38,73,79,5.01
138,Asau,RO,2022-07-21 14:12:28,46.4333,26.4,83.32,24,0,10.2
139,Ribeira Grande,PT,2022-07-21 14:12:28,38.5167,-28.7,73.8,94,20,5.75
140,Port Elizabeth,ZA,2022-07-21 14:11:39,-33.918,25.5701,62.31,72,0,4.0
141,Havoysund,NO,2022-07-21 14:12:29,70.9963,24.6622,61.03,72,100,7.27
142,Airai,TL,2022-07-21 14:12:29,-8.9266,125.4092,58.14,90,99,3.27
143,Avera,US,2022-07-21 14:12:29,33.194,-82.5271,81.91,75,100,11.3
144,Zhezkazgan,KZ,2022-07-21 14:12:30,47.8043,67.7144,94.98,17,0,15.66
145,Faanui,PF,2022-07-21 14:12:30,-16.4833,-151.75,76.82,74,4,13.65
146,East Stroudsburg,US,2022-07-21 14:12:30,40.9995,-75.1813,87.82,78,3,7.65
147,Mastic Beach,US,2022-07-21 14:12:31,40.7668,-72.8521,87.58,84,20,4.0
148,Maple Creek,CA,2022-07-21 14:12:31,49.9168,-109.4848,70.02,41,4,1.39
149,Mar Del Plata,AR,2022-07-21 14:11:21,-38.0023,-57.5575,56.08,70,0,14.0
150,Saint-Philippe,RE,2022-07-21 14:12:32,-21.3585,55.7679,71.19,79,42,15.26
151,Rocha,UY,2022-07-21 14:12:32,-34.4833,-54.3333,61.77,84,52,9.69
152,Itoman,JP,2022-07-21 14:12:33,26.1247,127.6694,84.22,94,20,5.75
153,Port Alfred,ZA,2022-07-21 14:12:33,-33.5906,26.891,63.18,73,0,5.01
154,Shaunavon,CA,2022-07-21 14:11:35,49.6501,-108.4181,68.7,42,33,1.72
155,General Cepeda,MX,2022-07-21 14:12:34,25.3833,-101.45,81.07,47,6,1.63
156,Cocorit,MX,2022-07-21 14:12:34,27.5833,-109.9667,82.74,59,32,4.56
157,Saint George,US,2022-07-21 14:12:34,37.1041,-113.5841,87.8,31,0,6.91
158,Filadelfia,US,2022-07-21 14:08:57,39.9523,-75.1638,90.5,71,40,11.5
159,Thompson,CA,2022-07-21 14:12:35,55.7435,-97.8558,59.16,94,100,9.22
160,Trebinje,BA,2022-07-21 14:10:17,42.7119,18.3442,88.75,37,0,8.05
161,Taoudenni,ML,2022-07-21 14:12:35,22.6783,-3.9836,106.63,19,12,6.71
162,Hun,LY,2022-07-21 14:12:36,29.1268,15.9477,93.47,20,0,12.44
163,Hobart,AU,2022-07-21 14:09:46,-42.8794,147.3294,40.05,88,75,6.91
164,Gigmoto,PH,2022-07-21 14:12:36,13.7796,124.39,81.57,84,11,5.06
165,Magadan,RU,2022-07-21 14:12:37,59.5667,150.8,56.5,89,68,0.81
