City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Novyye Lyady,RU,58.0536,56.6039,58.24,86,78,4.23,broken clouds
70,Bluff,NZ,-46.6,168.3333,34.81,83,50,5.55,scattered clouds
71,Busselton,AU,-33.65,115.3333,51.24,68,84,13.02,broken clouds
72,Arona,ES,28.0996,-16.681,80.91,90,20,1.14,few clouds
73,Tasiilaq,GL,65.6145,-37.6368,39.72,82,100,5.88,overcast clouds
74,Bukachacha,RU,52.9833,116.9167,61.99,94,83,3.04,light rain
75,Le Vauclin,MQ,14.5452,-60.8388,84.25,65,40,10.36,scattered clouds
76,Peleduy,RU,59.6289,112.7406,73.72,73,5,1.5,clear sky
77,Jamestown,US,42.097,-79.2353,80.51,79,75,6.91,light rain
78,Homer,US,59.6425,-151.5483,60.8,54,100,5.75,overcast clouds
79,Glencoe,ZA,-28.1783,30.147,48.24,72,5,4.29,clear sky
80,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,10.36,scattered clouds
81,Mahibadhoo,MV,3.7833,72.9667,81.97,77,85,13.38,overcast clouds
82,Provideniya,RU,64.3833,-173.3,46.67,74,95,7.58,overcast clouds
83,Ust-Nera,RU,64.5667,143.2,66.24,76,97,7.85,overcast clouds
84,Guanajuato,MX,21.0186,-101.2591,76.3,34,86,2.59,overcast clouds
85,Geraldton,AU,-28.7667,114.6,55.81,67,40,12.66,scattered clouds
86,Buala,SB,-8.145,159.5921,82.83,74,6,5.68,clear sky
87,Namatanai,PG,-3.6667,152.4333,81.88,71,8,4.72,clear sky
88,Bandipur,NP,27.9333,84.4167,67.82,94,100,2.68,overcast clouds
89,Piacabucu,BR,-10.4056,-36.4344,74.41,83,87,10.69,overcast clouds
90,Kapaa,US,22.0752,-159.319,84.18,67,40,13.8,scattered clouds
91,Hobart,AU,-42.8794,147.3294,50.25,92,0,1.14,clear sky
92,Tuatapere,NZ,-46.1333,167.6833,42.04,89,59,3.27,broken clouds
93,Havelock,US,34.8791,-76.9013,85.78,65,76,12.15,broken clouds
94,Niquero,CU,20.0431,-77.5828,83.34,74,100,0.4,overcast clouds
95,Yagodnoye,RU,62.55,149.6667,61.41,54,100,4.0,overcast clouds
96,Macklin,CA,52.3334,-109.9348,70.14,42,5,6.24,clear sky
97,Necochea,AR,-38.5473,-58.7368,54.0,86,92,3.02,overcast clouds
98,Trat,TH,12.5,102.5,79.88,90,100,2.39,overcast clouds
99,Ostrovnoy,RU,68.0531,39.5131,50.0,90,97,4.18,overcast clouds
100,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,13.8,light rain
101,Ambulu,ID,-8.345,113.6058,71.74,89,94,5.19,overcast clouds
102,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.65,42,98,1.63,overcast clouds
103,Svetlogorsk,BY,52.6333,29.7333,65.3,66,69,7.07,broken clouds
104,Ban Bung,TH,18.3081,100.7044,72.12,99,99,1.9,overcast clouds
105,Port Alfred,ZA,-33.5906,26.891,53.19,80,94,5.99,overcast clouds
106,Severo-Kurilsk,RU,50.6789,156.125,56.16,89,47,3.47,scattered clouds
107,Sabha,LY,27.0377,14.4283,84.02,24,0,9.04,clear sky
108,Port Elizabeth,ZA,-33.918,25.5701,54.32,87,30,5.01,scattered clouds
109,Sola,VU,-13.8833,167.55,80.17,78,13,11.54,few clouds
110,Aswan,EG,24.0934,32.907,90.7,14,0,11.5,clear sky
111,New Norfolk,AU,-42.7826,147.0587,49.91,85,100,2.53,overcast clouds
112,Bandundu,CD,-3.3167,17.3667,79.81,61,88,3.42,overcast clouds
113,Clyde River,CA,70.4692,-68.5914,44.46,74,100,1.92,overcast clouds
114,Uribia,CO,11.7139,-72.266,91.44,36,13,19.15,few clouds
115,Mount Isa,AU,-20.7333,139.5,44.37,76,0,0.0,clear sky
116,Campbellsville,US,37.3434,-85.3419,89.46,63,2,7.11,clear sky
117,Alofi,NU,-19.0595,-169.9187,73.29,78,88,12.66,overcast clouds
118,Barrow,US,71.2906,-156.7887,36.34,86,100,11.23,overcast clouds
119,Altay,CN,47.8667,88.1167,58.28,43,32,3.27,scattered clouds
120,Thompson,CA,55.7435,-97.8558,64.56,52,75,10.36,broken clouds
121,Zwedru,LR,6.0667,-8.1281,72.79,82,99,3.38,overcast clouds
122,Cabo San Lucas,MX,22.8909,-109.9124,82.51,81,100,4.61,overcast clouds
123,Fairbanks,US,64.8378,-147.7164,64.36,52,20,5.75,few clouds
124,Kahului,US,20.8947,-156.47,87.82,60,40,19.57,scattered clouds
125,Huarmey,PE,-10.0681,-78.1522,65.41,79,66,9.93,broken clouds
126,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,81,5.01,broken clouds
127,Margate,GB,51.3813,1.3862,65.14,77,97,15.68,overcast clouds
128,Wanning,CN,18.8003,110.3967,78.48,87,0,4.76,clear sky
129,Mitu,CO,1.1983,-70.1733,73.53,98,100,1.07,overcast clouds
